"","SITE","DATE","Ammonia","Phosphate","DOC..mg.L.","TDN..mg.L.","Cl","SO4","Br","NO3.N","Temp.C","SPC.uS.cm","Pressure.mmHg","DO..","DO.mg.L","pH","E.Coli..CFU.per.100mL.","Na","K","Mg","Ca","MedianHHIn","Low_20thPHHIn","roadLength_km","roadDensity_kmkm2","pipeLength_km","pipeDensity_kmkm2","perMinority","gs_area","per_gs"
"29",27.3,2022-02-26,0.005,0.0122,6.998,1.694,47.22807776,52.06265404,0.62859123,1.1464308,15.5,429.3,765.4,93,9.33,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",29.1,2022-02-26,0.0183,0.0139,7.04,1.379,41.72303802,38.70256504,0.51915611,0.88689406,13.1,364.3,766,93.9,9.89,7.39,NA,NA,NA,NA,NA,23000,9000,460.1149955,9.698620026,276.2607671,5.823214271,52.04834211,18731125.28,0.394827529
"31",29.2,2022-02-26,0.005,0.0181,11.72,0.4732,15.10704336,10.23060128,0.41776769,0.03998619,8.2,153.7,765.8,94.1,11.08,6.86,282.8,NA,NA,NA,NA,21000,10000,20.87902571,7.176305545,5.014638101,1.723575405,86.02192639,772709.3734,0.265587036
"32",31.1,2022-02-26,0.005,0.0133,7.601,1.243,40.04069742,37.24792944,0.51271875,0.72887482,12.2,349.9,765.6,100.5,10.79,7.24,NA,NA,NA,NA,NA,23000,9000,497.9835351,8.80121787,284.8567645,5.034476584,55.10739191,29004238.13,0.512612568
"33",32.2,2022-02-26,0.0119,0.0159,5.379,0.3518,21.19307416,9.9245055,0.24878699,0.1747633,9.1,135.2,765.4,89.7,10.35,7.28,237.4,NA,NA,NA,NA,39000,27600,17.4570625,5.65099318,0.144637271,0.046820262,73.39449541,20144389.22,6.520902706
"34",33.1,2022-02-26,0.005,0.013,6.88,1.094,37.82177272,34.78710606,0.50306271,0.67701388,11.5,337.9,765.2,93.1,10.14,7.25,NA,NA,NA,NA,NA,23000,9000,515.760932,8.207833442,284.919501,4.534216657,55.17337109,59663868.83,0.949492425
"35",1.2,2022-09-25,0.001,0.0206,3.637,0.4265,9.57410484,23.4903008,NA,0.30024748,15.4,176,752.7,87.4,8.73,7.41,NA,18.5262151,1.95851403,2.44942876,12.61800893,69000,40000,14.421294,7.597456613,8.99316317,4.737797248,12.4567474,NA,NA
"36",2.1,2022-09-25,0.001,0.0193,5.637,0.6204,4.29798694,6.03668813,NA,0.32381262,17,93.9,754.4,80.3,7.76,6.86,NA,5.34436356,1.59700134,1.94240986,10.89031271,72500,43600,29.368217,9.339039803,14.78884392,4.702825575,11.57024793,279319.8697,0.088823213
"37",3.1,2022-09-25,0.0198,0.0281,5.708,0.5775,7.6395769,7.8748034,NA,0.3003671,16.6,139,754.8,79,7.69,7.11,NA,8.15705344,2.01046285,3.5025868,14.46607547,71000,43000,46.32394694,9.998708953,29.39805425,6.345370107,11.32376396,279319.8697,0.060289295
"38",4.2,2022-09-25,0.0532,0.0682,7.323,0.9704,10.01667442,11.03617229,NA,0.39737892,17.5,193.9,754.8,78.6,7.51,7.27,NA,11.78019868,4.57085838,4.84296976,19.86005102,43000,24000,20.68393499,9.769987732,10.13728234,4.788311514,18.47672779,NA,NA
"39",5.1,2022-09-25,0.0397,0.0626,5.221,0.5927,8.2478548,14.3253689,NA,0.26352414,17.6,157.6,754.8,82.2,7.84,7.12,NA,10.88921001,2.52909943,3.69801642,15.09395954,61000,33000,64.51878937,8.878945445,41.55435202,5.718625972,14.9506347,279319.8697,0.038439436
"40",NA,2022-09-25,0.0302,0.0559,5.863,0.5933,8.22539082,11.4374093,0.16409738,0.28206524,17.5,151.4,754.8,74,7.55,6.94,NA,10.07761637,2.57849339,3.5463397,15.01013021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",6.2,2022-09-25,0.001,0.0585,12.66,0.9232,24.29734742,15.74646596,NA,0.25885896,16.5,223.4,754.6,29.7,2.9,6.71,NA,13.91447368,4.70839501,3.8963629,21.5022461,66000,39000,9.509509229,15.86405194,2.733556594,4.560202081,5.13739546,271540.6935,0.452992427
"42",7.1,2022-09-25,0.0426,0.0421,5.824,0.5957,7.66904264,9.84626981,NA,0.2752469,18,143.6,754.7,82.2,7.79,7.16,NA,8.77428577,2.56103518,3.53501542,14.59623782,52000,31000,102.4182662,9.531811046,66.48290668,6.187397306,12.184327,2834057.562,0.263758626
"43",8.2,2022-09-25,0.0175,0.0462,5.292,0.7818,11.8420916,14.96805827,NA,0.49163948,16.7,204.6,754.7,73.4,7.04,7.17,NA,11.40798112,3.45097808,3.67107836,22.26077018,27000,18000,29.3304484,15.02750507,20.31690763,10.40940214,21.85573366,NA,NA
"44",9.2,2022-09-25,0.0205,0.0211,5.404,0.7225,10.53743032,12.95477168,0.20008928,0.46939016,17.9,203.8,756.1,75.8,7.05,7.33,NA,10.50617879,2.98386451,4.66229602,21.67874147,25000,16000,55.82319666,14.87989162,39.06779947,10.4136749,31.4178515,352143.0997,0.093865122
"45",10.1,2022-09-25,0.0157,0.0377,5.255,0.5599,7.08731308,8.85284327,NA,0.26316528,18.1,142.4,755.4,87.2,8.24,7.38,NA,8.08050411,2.55166736,3.98798662,14.52100637,44000,27000,118.843266,9.02017642,81.33170638,6.173057717,18.61575179,5126204.024,0.389077701
"46",11.1,2022-09-25,0.0171,0.0365,5.318,0.5456,7.01583678,9.13493222,NA,0.26196908,18.3,142,755.1,85.8,8.07,7.29,NA,7.94533336,2.56869976,3.95693064,14.5284101,43000,27000,123.0250236,8.942518889,84.3499841,6.131283735,19.6949218,5381559.338,0.391178109
"47",12.1,2022-09-25,0.0124,0.038,6.195,0.6365,6.66166442,9.02091305,NA,0.27297412,17.7,130.5,756.1,85.2,8.13,7.35,NA,7.61409388,2.76031426,3.50704788,13.13818067,41000,21000,134.4314662,9.030926612,89.43292092,6.007984355,26.50640025,7040908.44,0.472998839
"48",13.2,2022-09-25,0.0148,0.0592,5.337,0.9457,17.01493354,24.48569999,NA,0.73147758,16.2,275.4,756,59.3,5.87,7.19,NA,17.20552573,3.67112185,6.56374558,27.1195277,27000,14000,49.42814445,14.61125001,31.62641804,9.348955052,17.74672489,1217363.443,0.359859789
"49",14.2,2022-09-25,0.001,0.0725,3.482,0.7543,20.75416512,28.95335771,NA,0.61867592,17.3,360.6,755.1,53.3,5.08,7.07,NA,22.05886708,3.16994348,8.01754292,29.199737,25000,12000,34.00660092,15.61472034,26.71878237,12.26839211,19.02047162,594456.4119,0.272954967
"50",15.1,2022-09-25,0.0836,0.0103,7.311,0.6018,23.7873859,21.18427295,0.31216061,0.2860127,16.8,356.9,755.9,4.7,0.45,6.41,NA,18.59251991,2.70495896,7.94444984,34.5638588,28000,17000,252.7243424,10.76906822,169.3635663,7.216905909,26.02260936,10688171.5,0.455443457
"51",16.1,2022-09-25,0.0527,0.0244,7.059,0.791,7.279278,11.13283214,NA,0.37405302,17.4,172.9,756.4,59.5,5.66,6.92,NA,9.57478118,3.15887242,4.13382962,18.0893654,27000,16000,275.8989672,10.29804325,182.0594298,6.795443642,30.362186,14196099.23,0.529875285
"52",17.2,2022-09-25,0.14,0.0168,6.998,0.5589,2.49940984,12.70621778,NA,0.09127134,16,92.1,756.1,31.4,3.08,6.79,NA,4.10591492,2.62107439,2.4345013,10.21322966,21000,10000,12.39632431,9.071526525,4.651347439,3.40381718,78.54477612,NA,NA
"53",18.2,2022-09-25,0.0967,0.326,2.004,0.5957,11.48733576,34.35131717,NA,0.31627656,22.9,191.3,755.4,83.3,7.22,7.51,NA,22.90347084,2.39113699,2.95198658,12.64714619,7000,5000,30.60825239,16.56895516,22.07222105,11.94820391,93.29529244,557208.4332,0.301629816
"54",19.2,2022-09-25,0.0745,0.228,2.62,0.5067,11.5182602,34.29923921,NA,0.28673042,18.3,201.9,755.7,75,7.06,7.47,NA,21.87617314,2.81865023,2.87734928,16.23293981,7000,5000,58.628504,15.33988479,35.02211278,9.163378535,87.09801656,1311989.736,0.343276223
"55",20.2,2022-09-25,0.879,0.0717,7.233,1.468,21.91995816,16.43847158,NA,0.20670464,16.5,248.8,756,58,5.61,7.17,NA,23.64477569,4.19401653,4.21773224,21.8604911,9000,5000,55.71258042,13.81421723,21.05192798,5.219932447,96.82758621,850710.8676,0.21093808
"56",21.2,2022-09-25,3.24,0.294,18.67,3.955,16.75003362,10.8771767,NA,0.08253908,16.5,386.5,756.2,33.5,3.25,7.4,NA,49.00167011,8.3103218,6.1037396,27.81643364,15000,9000,26.03172358,13.38180703,7.762921104,3.990589095,89.07672302,2233450.002,1.148122093
"57",22.2,2022-09-25,0.153,0.0408,7.148,0.765,8.58452276,11.44845614,NA,0.28505574,16.6,172,756.2,43,4.1,7.1,NA,11.78304438,3.53741751,3.71980708,20.36995307,9000,5000,60.82038615,13.36253886,24.41956764,5.365099471,97.01715138,989586.3187,0.217416996
"58",23.2,2022-09-25,0.0378,0.124,3.554,0.5033,11.64575058,36.18075278,NA,0.29869242,16.7,232.3,756.2,89.8,8.66,7.55,NA,19.54127629,3.71625771,3.4476812,23.66389643,8000,5000,62.41791225,13.44165884,38.28153959,8.2439059,86.43556895,1311989.736,0.282536179
"59",25.2,2022-09-25,0.0181,0.0273,10.2,0.4886,3.63136104,8.41846574,0.12760904,0.07500302,16.7,106.3,756,20.7,2.3,6.97,NA,5.43058827,2.89657346,2.56473052,13.13077694,55000,32200,13.44649632,6.804729856,4.564588821,2.309954437,71.84750733,NA,NA
"60",26.2,2022-09-25,0.0528,0.0539,7.33,0.6581,5.22046882,9.54563795,NA,0.25933744,18,132.3,756.3,68.4,6.68,7.24,NA,9.2350046,3.25467967,2.38954734,14.91316523,47000,28000,31.15672085,8.337333755,9.333104171,2.497477344,73.50180505,NA,NA
"61",31.1,2022-09-25,0.02,0.0638,6.679,0.812,38.86275866,48.18708974,0.31613213,0.27177792,22.8,384.6,754.5,94.2,8.11,7.4,NA,47.00114301,10.98100212,4.36185944,18.21403466,23000,9000,497.9835351,8.80121787,284.8567645,5.034476584,55.10739191,29004238.13,0.512612568
"62",33.1,2022-09-25,0.0262,0.0658,6.463,0.8402,38.89018222,47.28361604,0.32010365,0.30204178,21.5,383.9,754.3,90.2,7.95,7.46,NA,47.14200516,10.75915511,4.39531754,18.28401185,23000,9000,515.760932,8.207833442,284.919501,4.534216657,55.17337109,59663868.83,0.949492425
"63",27.1,2022-09-25,0.0562,0.038,6.898,0.7361,7.4207719,9.70344995,NA,0.3344588,20.5,159.2,754.5,93.6,8.42,7.33,NA,9.84996037,3.28491218,3.7608147,15.22077827,23000,9000,446.1540814,9.949306991,272.0035669,6.065722813,51.98819509,18731125.28,0.417707074
"64",27.3,2022-09-25,0.0156,0.0626,6.371,0.8571,47.60153862,57.2737661,0.38141399,0.27967284,25.1,44.74,754.1,93.8,7.73,6.94,NA,54.55915,13.0872797,4.45279684,18.3711848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1.2,2022-06-16,0.005,0.0147,3.834,0.2801,12.29148775,25.05803065,0.20589614,0.15128932,23.6,167.9,753.9,82.6,6.95,7.65,75,23.00170952,2.0100919,2.65526986,12.53712436,69000,40000,14.421294,7.597456613,8.99316317,4.737797248,12.4567474,NA,NA
"66",2.1,2022-06-16,0.005,0.0183,6.54,0.5316,13.92164425,6.56909263,0.13493882,0.27102652,25.5,136.2,755.5,87.3,7.11,7.51,1782,11.7856556,1.88516794,3.40501444,15.10454604,72500,43600,29.368217,9.339039803,14.78884392,4.702825575,11.57024793,279319.8697,0.088823213
"67",3.1,2022-06-16,0.041,0.0232,6.477,0.4221,24.1275235,7.54269253,0.28296533,0.1352626,24.5,241.1,755.8,48.9,4.05,7.44,135,17.27642352,2.23465759,8.24562586,20.0534488,71000,43000,46.32394694,9.998708953,29.39805425,6.345370107,11.32376396,279319.8697,0.060289295
"68",4.2,2022-06-16,0.0834,0.115,6.715,0.5336,32.45268475,3.23638528,0.18353564,0.14853328,24.9,228.6,755.9,61.8,5.09,7.48,233,22.47436776,3.10416801,4.64568427,22.11119144,43000,24000,20.68393499,9.769987732,10.13728234,4.788311514,18.47672779,NA,NA
"69",5.1,2022-06-16,0.104,0.0872,7.209,0.5059,16.59491275,23.24800201,0.21320057,0.09973516,24.9,193,755.9,54,4.45,7.65,571,20.05079832,2.72146445,4.52627002,18.04183096,61000,33000,64.51878937,8.878945445,41.55435202,5.718625972,14.9506347,279319.8697,0.038439436
"70",6.1,2022-06-16,0.0315,0.0739,7.183,0.4912,17.02260925,18.53294047,0.20142404,0.12618388,25.3,186.3,756.1,49.9,4.08,7.47,2075,18.60935432,2.69023346,4.59614947,17.61200548,54000,32000,77.68284912,9.116890314,51.29651291,6.020179319,14.58145815,644071.1538,0.075588449
"71",6.2,2022-06-16,0.0909,0.202,9.346,0.4982,18.75720925,4.60533769,0.28639394,0.05707444,23.4,250.6,756,37.7,3.19,7.31,8664,12.50540584,4.67315346,7.31012578,36.39085296,66000,39000,9.509509229,15.86405194,2.733556594,4.560202081,5.13739546,271540.6935,0.452992427
"72",7.1,2022-06-16,0.0642,0.134,6.139,0.5241,16.83613975,19.33231723,0.20202032,0.19899892,24.4,192.5,756.1,66.2,5.5,7.34,121,19.5872688,2.60199352,5.26982275,19.17073544,52000,31000,102.4182662,9.531811046,66.48290668,6.187397306,12.184327,2834057.562,0.263758626
"73",8.2,2022-06-16,0.0374,0.159,4.275,0.7171,18.29724625,29.33438098,0.22318826,0.50498884,23.7,224.9,755.97,62.7,5.27,7.42,2723,24.64366,3.31683618,4.27417327,21.26768416,27000,18000,29.3304484,15.02750507,20.31690763,10.40940214,21.85573366,NA,NA
"74",9.2,2022-06-16,0.0466,0.0298,4.566,0.4617,20.52334075,26.21413126,0.28192184,0.21937972,24.2,263.1,757.3,79.2,6.61,7.41,187,23.79272216,3.01691953,6.50483146,26.69455516,25000,16000,55.82319666,14.87989162,39.06779947,10.4136749,31.4178515,352143.0997,0.093865122
"75",11.1,2022-06-16,0.0421,0.0585,5.645,0.456,15.9760795,14.39021377,0.21797081,0.2008054,23.9,205,757.1,54.5,4.69,7.45,86,15.87093464,2.59455757,7.63581709,20.76665352,43000,27000,123.0250236,8.942518889,84.3499841,6.131283735,19.6949218,5381559.338,0.391178109
"76",12.1,2022-06-16,0.0347,0.0441,6.528,0.4476,14.50310275,10.87737073,0.23004548,0.1530958,24.7,187.9,757.1,66,5.49,7.47,110,13.89534656,2.63322451,6.78258016,21.37146496,41000,21000,134.4314662,9.030926612,89.43292092,6.007984355,26.50640025,7040908.44,0.472998839
"77",13.2,2022-06-16,0.0266,0.0706,4.449,0.7097,32.7470155,34.62098902,0.37777385,0.52328524,23.6,361.8,757.5,56.2,4.76,7.47,1725,29.59995992,3.60882115,10.87309318,35.95180252,27000,14000,49.42814445,14.61125001,31.62641804,9.348955052,17.74672489,1217363.443,0.359859789
"78",14.2,2022-06-16,0.0237,0.0891,2.78,0.6513,25.39639075,30.73092529,0.27297764,0.54595888,21.9,328.7,757.3,72.1,6.25,7.58,862,25.59890008,2.75616555,6.93047692,23.6742456,25000,12000,34.00660092,15.61472034,26.71878237,12.26839211,19.02047162,594456.4119,0.272954967
"79",15.1,2022-06-16,0.0345,0.0244,5.047,0.3492,20.332498,19.69061776,0.27759881,0.13382668,25.7,254.2,757.5,74.5,6.08,6.87,677,19.71813248,3.01394515,7.19336518,24.09282816,28000,17000,252.7243424,10.76906822,169.3635663,7.216905909,26.02260936,10688171.5,0.455443457
"80",16.1,2022-06-16,0.0776,0.0249,7.801,0.507,19.9365535,18.27199993,0.33424541,0.14871856,22.5,247.7,757.7,3.6,0.3,7.04,41,22.42351232,4.1119871,7.94275594,32.65186136,27000,16000,275.8989672,10.29804325,182.0594298,6.795443642,30.362186,14196099.23,0.529875285
"81",17.2,2022-06-16,0.235,0.0116,9.279,0.6435,7.328731,4.56197899,0.1355351,0.063235,NA,NA,NA,NA,NA,NA,295,7.31977056,3.24991263,4.29646393,16.01262804,21000,10000,12.39632431,9.071526525,4.651347439,3.40381718,78.54477612,NA,NA
"82",18.2,2022-06-16,0.152,0.104,5.633,0.6041,22.44235225,29.87951809,0.35392265,0.1706974,24.1,357.5,757.1,38.3,3.24,7.07,1112,26.81943064,5.79796483,8.67109441,35.14317712,7000,5000,30.60825239,16.56895516,22.07222105,11.94820391,93.29529244,557208.4332,0.301629816
"83",19.2,2022-06-16,0.325,0.019,8.325,0.5734,16.32531475,7.63926418,0.27879137,0.02619444,24,233.8,757.4,17.5,1.49,6.85,148,18.77552528,4.77180373,6.43353673,33.96065256,7000,5000,58.628504,15.33988479,35.02211278,9.163378535,87.09801656,1311989.736,0.343276223
"84",20.2,2022-06-16,0.167,0.0382,6.284,0.4588,24.13917325,26.39466112,0.33007145,0.10360288,23.2,290.9,757.6,33.7,2.87,6.89,1234,29.01528432,3.27519486,6.48165625,30.9561984,9000,5000,55.71258042,13.81421723,21.05192798,5.219932447,96.82758621,850710.8676,0.21093808
